census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2022,87,108567,108567,300 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Jankara Karaoke,Ground 300 Russell Street MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,40,144.96690504910487,-37.80951656,"-37.80951656, 144.96690504910487"
2022,87,707517,707517,303-307 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),B & B' Guette Cafe,305-307 Exhibition Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,35,144.96877272385723,-37.8088140537,"-37.8088140537, 144.96877272385723"
2022,93,105473,105473,410-420 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Cafenatics,Part Ground 414 La Trobe Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,8,144.95711296035597,-37.8112363936,"-37.8112363936, 144.95711296035597"
2022,93,110140,110140,Oaks on William 330-352 William Street MELBOURNE VIC 3000,Melbourne (CBD),The Jazz Corner Cafe,Part 352 William Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,36,144.95657517164122,-37.8112462591,"-37.8112462591, 144.95657517164122"
2022,93,110140,110140,Oaks on William 330-352 William Street MELBOURNE VIC 3000,Melbourne (CBD),The Jazz Corner Cafe,Part 352 William Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,8,144.95657517164122,-37.8112462591,"-37.8112462591, 144.95657517164122"
2022,93,573454,565462,Wills Tower 28 Wills Street MELBOURNE VIC 3000,Melbourne (CBD),Little Chef,"Unit 101, Level 1 28 Wills Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,8,144.9572292191701,-37.81067687015,"-37.81067687015, 144.9572292191701"
2022,94,103216,103216,284-294 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Smile Bread,369 Elizabeth Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,Seats - Indoor,10,144.96084965185,-37.81001419111698,"-37.81001419111698, 144.96084965185"
2022,94,105481,105481,Centro Apartments 348-358 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),The Basement Cafe,Shop LwrGround 350 La Trobe Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.95927771229094,-37.8106800159,"-37.8106800159, 144.95927771229094"
2022,94,105481,105481,Centro Apartments 348-358 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),The Basement Cafe,Shop LwrGround 350 La Trobe Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,30,144.95927771229094,-37.8106800159,"-37.8106800159, 144.95927771229094"
2022,94,639236,639236,127-141 A'Beckett Street MELBOURNE VIC 3000,Melbourne (CBD),Hualu Peking Duck,"Shop 1, 137 A'Beckett Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,130,144.95976366756042,-37.80988988855,"-37.80988988855, 144.95976366756042"
2022,95,103306,103306,382-384 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Lanzhou Beef Noodle,Ground 382-384 Elizabeth Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.96145107881267,-37.8097713042,"-37.8097713042, 144.96145107881267"
2022,95,103308,103308,368-378 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Kata Kita,266 La Trobe Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,75,144.96174730461894,-37.8099526522,"-37.8099526522, 144.96174730461894"
2022,95,105981,105981,70-72 Little La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Chang Go,70-72 Little La Trobe Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,100,144.96174316415,-37.80944506424704,"-37.80944506424704, 144.96174316415"
2022,95,105988,105988,34-36 Little La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Vegie Tribe,34-36 Little La Trobe Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,110,144.9625154017,-37.80921787620598,"-37.80921787620598, 144.9625154017"
2022,95,105989,105989,22-32 Little La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Little Charley,Part 22-32 Little La Trobe Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,40,144.96267248849512,-37.8091717107,"-37.8091717107, 144.96267248849512"
2022,95,109315,109315,407-409 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Joomak Korean Restaurant,"Unit 1, Basement 407 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,92,144.96318266853086,-37.8089556346,"-37.8089556346, 144.96318266853086"
2022,96,606672,105490,Building 14 RMIT University 414-418 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Canto Melbourne,Part  Level 4 Building 14 RMIT University 414-418 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,12,144.96458869234556,-37.80821791505,"-37.80821791505, 144.96458869234556"
2022,96,606672,105490,Building 14 RMIT University 414-418 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Canto Melbourne,Part  Level 4 Building 14 RMIT University 414-418 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,3,144.96458869234556,-37.80821791505,"-37.80821791505, 144.96458869234556"
2022,97,103617,103617,355-357 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Thailicious,"Unit 1, 355-357 Exhibition Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,52,144.96817506990635,-37.80752104815,"-37.80752104815, 144.96817506990635"
2022,103,108084,108084,365-371 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Buza Chicken,"Shop 3, Ground 365 Queen Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,50,144.9579930473276,-37.80987983485,"-37.80987983485, 144.9579930473276"
2022,103,554417,554417,Infinity 8 Apartments 243-263 Franklin Street MELBOURNE VIC 3000,Melbourne (CBD),GJ's Grill,"Shop 1, 243 Franklin Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,34,144.95664106885,-37.80969603053212,"-37.80969603053212, 144.95664106885"
2022,103,621414,621414,218-236 A'Beckett Street MELBOURNE VIC 3000,Melbourne (CBD),Tokyo 7 Japanese Restaurant,7 Frederick Way MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,46,144.956599166207,-37.8101725435,"-37.8101725435, 144.956599166207"
